home_team,away_team,game_date
ORL,DAL,2026-03-05
WAS,UTA,2026-03-05
HOU,GSW,2026-03-05
MIA,BRK,2026-03-05
MIN,TOR,2026-03-05
SAS,DET,2026-03-05
PHX,CHI,2026-03-05
DEN,LAL,2026-03-05
SAC,NOP,2026-03-05
