home_team,away_team,home_team_prob,result,odds 1,odds 2,date
SAS,BRK,0.5681908747270131,0,1.24,3.9,2025-10-26
DET,BOS,0.3388775540877231,0,1.51,2.64,2025-10-26
WAS,CHO,0.5071370344846715,0,1.8,2.05,2025-10-26
MIA,NYK,0.40460069328530507,0,2.2,1.7,2025-10-26
CLE,MIL,0.48124679777075774,0,1.39,3.1,2025-10-26
MIN,IND,0.36704779259672593,0,1.15,5.7,2025-10-26
DAL,TOR,0.24376761357533336,0,1.93,1.89,2025-10-26
SAC,LAL,0.39942580261722865,0,2.24,1.68,2025-10-26
LAC,POR,0.39510819841871625,0,1.31,3.6,2025-10-26
